price,currency,color,region,sku,name,size,crawl_time,description,category
220.00, ,,UNITED STATES,9350827P4363643536435,Loafer,,,,
245.00, ,,UNITED STATES,3YPV51PJ05Z25BL25BL,Sweatsuit,,,,
165.00, ,,UNITED STATES,6XBB02BN43Z15861586,TECHNICAL DOWN SKI JACKET,,,,
175.00, ,,UNITED STATES,3YTV64TJ31Z39053905,Sweatsuit,,,,
208.00, ,,UNITED STATES,6XBP01BN45Z15861586,TECHNICAL SKI TROUSERS,,,,
95.00, ,,UNITED STATES,3YTT96TJ12Z15541554,Short sleeved t-shirt,,,,
500.00, ,,UNITED STATES,9225917P7790001700017,Shopper,,,,
695.00, ,,UNITED STATES,VJA09TVJ3201100,Short Dress,,,,
895.00, ,,UNITED STATES,VMA37TVM057328328,LINEN CREW NECK DRESS,,,,
230.00, ,,UNITED STATES,3Y5A955JZAZ12001200,Short Dress,,,,
250.00, ,,UNITED STATES,3Y5J085D1PZ15001500,Jeans,,,,
185.00, ,,UNITED STATES,3Y5J185DXIZ15001500,5 pockets,,,,
395.00, ,,UNITED STATES,3Y2M5B2J4CZ10100,Short-sleeved top,,,,
"1,095.00", ,,UNITED STATES,UMP01TUM805922922,CHINA PANT IN VELVET,,,,
925.00, ,,UNITED STATES,VMP24TVM104010010,High-waist pant,,,,
695.00, ,,UNITED STATES,VMP26TVM025628628,High-waist pant,,,,
695.00, ,,UNITED STATES,VMP24TVM008999999,HIGH WAISTED STRIPED TROUSERS,,,,
495.00, ,,UNITED STATES,3YMM78MJ1DZ09990999,LONG SLEEVE TRANSPARENT JERSEY T-SHIRT ,,,,
375.00, ,,UNITED STATES,3YMM73MJSBZ00260026,CHECKED JACQUARD T-SHIRT,,,,
375.00, ,,UNITED STATES,3YMM73MJSBZ00270027,CHECKED JACQUARD T-SHIRT,,,,
295.00, ,,UNITED STATES,3YMM67MJUBZ00430043,Short-sleeve t-shirt,,,,
295.00, ,,UNITED STATES,3YMM67MJUBZ06280628,STRIPED JACQUARD T-SHIRT,,,,
295.00, ,,UNITED STATES,3YMM68MJPVZ09050905,LONG SLEEVE GATHERED NECK T-SHIRT,,,,
190.00, ,,UNITED STATES,3Y5M105J10Z155N155N,Print t-shirt,,,,
270.00, ,,UNITED STATES,3Y5M165J1GZ34803480,Sweatshirt,,,,
295.00, ,,UNITED STATES,3YMM69MJPVZ09990999,3/4 SLEEVE GATHERED NECK T-SHIRT,,,,
275.00, ,,UNITED STATES,3YMM61MJUAZ08290829,RAISED PATTERN JERSEY T-SHIRT,,,,
230.00, ,,UNITED STATES,3Y5M025J0MZ13051305,Sweatshirt,,,,
345.00, ,,UNITED STATES,3YMH58MJTTZ09990999,Tank top,,,,
275.00, ,,UNITED STATES,3YMM61MJUAZ09990999,RAISED PATTERN JERSEY T-SHIRT,,,,
295.00, ,,UNITED STATES,3YMM68MJPVZ01010101,LONG SLEEVE GATHERED NECK T-SHIRT,,,,
230.00, ,,UNITED STATES,3Y5M025J0MZ12001200,Sweatshirt,,,,
295.00, ,,UNITED STATES,3YMM59MJSAZ06280628,T-Shirt,,,,
275.00, ,,UNITED STATES,3YMH53MJSAZ09160916,Tank top,,,,
115.00, ,,UNITED STATES,3Y5T545JZRZ24292429,PIXEL PATTERN JERSEY T-SHIRT,,,,
230.00, ,,UNITED STATES,3Y5M025J0MZ11001100,Sweatshirt,,,,
295.00, ,,UNITED STATES,3YMM59MJSAZ09990999,Short-sleeve t-shirt,,,,
145.00, ,,UNITED STATES,3Y5T075J14Z15141514,STRETCH COTTON T-SHIRT WITH LOGO,,,,
145.00, ,,UNITED STATES,3Y5T075J14Z14171417,STRETCH COTTON T-SHIRT WITH LOGO,,,,
160.00, ,,UNITED STATES,3Y5T525JZJZ39X239X2,Print t-shirt,,,,
115.00, ,,UNITED STATES,3Y5T475JABZ15971597,Long-sleeved polo,,,,
145.00, ,,UNITED STATES,3Y5M515JZKZ14801480,SOLID COLOUR COTTON PIQUE POLO SHIRT,,,,
100.00, ,,UNITED STATES,3Y5T415JABZ13491349,Short-sleeve t-shirt,,,,
175.00, ,,UNITED STATES,3Y5T445JZLZ12001200,Short-sleeve t-shirt,,,,
100.00, ,,UNITED STATES,3Y5T415JABZ16431643,Short-sleeve t-shirt,,,,
105.00, ,,UNITED STATES,3Y5T185J1KZ13601360,Tank top,,,,
210.00, ,,UNITED STATES,3Y5M695JYFZ12001200,100% COTTON SWEATSHIRT WITH SEQUINS,,,,
125.00, ,,UNITED STATES,3Y5T215J1KZ155N155N,LONG 100% COTTON T-SHIRT,,,,
110.00, ,,UNITED STATES,3Y5T065J13Z18761876,STRETCH COTTON T-SHIRT WITH LOGO,,,,
145.00, ,,UNITED STATES,3Y5T075J14Z11001100,STRETCH COTTON T-SHIRT WITH LOGO,,,,
115.00, ,,UNITED STATES,3Y5T485JZNZ15971597,MODAL COTTON T-SHIRT WITH LOGO AND CRYSTALS,,,,
100.00, ,,UNITED STATES,3Y5T535JPXZ14681468,T-Shirt,,,,
115.00, ,,UNITED STATES,3Y5T545JZRZ25392539,PIXEL PATTERN JERSEY T-SHIRT,,,,
160.00, ,,UNITED STATES,3Y5M455JZEZ05750575,Short-sleeve t-shirt,,,,
270.00, ,,UNITED STATES,3Y5M165J1GZ35153515,Sweatshirt,,,,
160.00, ,,UNITED STATES,3Y5M455JZEZ07020702,Short-sleeve t-shirt,,,,
115.00, ,,UNITED STATES,3Y5T485JZNZ14681468,MODAL COTTON T-SHIRT WITH LOGO AND CRYSTALS,,,,
130.00, ,,UNITED STATES,3Y5T585JZNZ11001100,Short-sleeve t-shirt,,,,
100.00, ,,UNITED STATES,3Y5T535JPXZ12001200,T-Shirt,,,,
190.00, ,,UNITED STATES,3Y5T145J19Z11001100,MODAL COTTON T-SHIRT WITH FLORAL PRINT,,,,
145.00, ,,UNITED STATES,3Y5M515JZKZ11001100,SOLID COLOUR COTTON PIQUE POLO SHIRT,,,,
160.00, ,,UNITED STATES,3Y5T045J12Z11001100,Short-sleeve t-shirt,,,,
120.00, ,,UNITED STATES,3Y5T195J1FZ13491349,JERSEY T-SHIRT WITH LOGO,,,,
175.00, ,,UNITED STATES,3Y5T095J16Z14681468,Short-sleeve t-shirt,,,,
145.00, ,,UNITED STATES,3Y5M515JZKZ13601360,SOLID COLOUR COTTON PIQUE POLO SHIRT,,,,
130.00, ,,UNITED STATES,3Y5T585JZNZ12001200,Short-sleeve t-shirt,,,,
175.00, ,,UNITED STATES,3Y5T095J16Z12001200,Short-sleeve t-shirt,,,,
105.00, ,,UNITED STATES,3Y5T185J1KZ11001100,Tank top,,,,
115.00, ,,UNITED STATES,3Y5T485JZNZ12001200,MODAL COTTON T-SHIRT WITH LOGO AND CRYSTALS,,,,
